@RELATION doneTrendMicro_JJVB_TF_MIX

@ATTRIBUTE id {F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F3,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F4,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F5,F50,F51,F52,F53,F54,F55,F56,F6,F7,F8,F9,T1,T2,T3,T4,T5,T6,T7}
@ATTRIBUTE label {0,1}
@ATTRIBUTE col1 REAL
@ATTRIBUTE col2 REAL
@ATTRIBUTE col3 REAL
@ATTRIBUTE col4 REAL
@ATTRIBUTE col5 REAL
@ATTRIBUTE col6 REAL
@ATTRIBUTE col7 REAL
@ATTRIBUTE col8 REAL
@ATTRIBUTE col9 REAL
@ATTRIBUTE col10 REAL
@ATTRIBUTE col11 REAL
@ATTRIBUTE col12 REAL
@ATTRIBUTE col13 REAL
@ATTRIBUTE col14 REAL
@ATTRIBUTE col15 REAL
@ATTRIBUTE col16 REAL
@ATTRIBUTE col17 REAL
@ATTRIBUTE col18 REAL
@ATTRIBUTE col19 REAL
@ATTRIBUTE col20 REAL
@ATTRIBUTE col21 REAL
@ATTRIBUTE col22 REAL
@ATTRIBUTE col23 REAL
@ATTRIBUTE col24 REAL
@ATTRIBUTE col25 REAL
@ATTRIBUTE col26 REAL
@ATTRIBUTE col27 REAL
@ATTRIBUTE col28 REAL
@ATTRIBUTE col29 REAL
@ATTRIBUTE col30 REAL
@ATTRIBUTE col31 REAL
@ATTRIBUTE col32 REAL
@ATTRIBUTE col33 REAL
@ATTRIBUTE col34 REAL
@ATTRIBUTE col35 REAL
@ATTRIBUTE col36 REAL
@ATTRIBUTE col37 REAL
@ATTRIBUTE col38 REAL
@ATTRIBUTE col39 REAL
@ATTRIBUTE col40 REAL
@ATTRIBUTE col41 REAL
@ATTRIBUTE col42 REAL
@ATTRIBUTE col43 REAL
@ATTRIBUTE col44 REAL
@ATTRIBUTE col45 REAL
@ATTRIBUTE col46 REAL
@ATTRIBUTE col47 REAL
@ATTRIBUTE col48 REAL
@ATTRIBUTE col49 REAL
@ATTRIBUTE col50 REAL
@ATTRIBUTE col51 REAL
@ATTRIBUTE col52 REAL
@ATTRIBUTE col53 REAL
@ATTRIBUTE col54 REAL
@ATTRIBUTE col55 REAL
@ATTRIBUTE col56 REAL
@ATTRIBUTE col57 REAL
@ATTRIBUTE col58 REAL
@ATTRIBUTE col59 REAL
@ATTRIBUTE col60 REAL
@ATTRIBUTE col61 REAL
@ATTRIBUTE col62 REAL
@ATTRIBUTE col63 REAL

@DATA
F21,0,0.26,0.37,0.18,0.1,0.53,0.67,0.75,0.34,0.39,0.34,0.34,0.49,0.38,0.32,0.39,0.3,0.19,0.37,0.28,0.41,0,0.48,0.11,0.22,0.38,0.51,0.28,0.42,0.57,0.33,0.38,0.62,0.3,0.23,0.28,0.49,0.37,0.3,0.43,0.36,0.23,0.23,0.55,0.56,0.28,0.41,0.57,0.34,0.23,0.36,0.45,0.3,0.16,0.24,0.29,0.32,0.5,0.39,0.34,0.27,0.4,0.19,0.91
F22,0,0.31,0.42,0.23,0.1,0.56,0.41,0.48,0.17,0.45,0.35,0.31,0.33,0.37,0.27,0.41,0.35,0.16,0.27,0.27,0.57,0.33,0,0.17,0.3,0.2,0.49,0.26,0.49,0.3,0.24,0.27,0.31,0.3,0.31,0.28,0.31,0.6,0.24,0.39,0.35,0.27,0.27,0.24,0.56,0.29,0.33,0.43,0.32,0.26,0.33,0.38,0.31,0.22,0.23,0.37,0.36,0.31,0.31,0.36,0.34,0.24,0.29,0.54
F23,0,0.73,0.53,1,1,0.65,0.21,0.4,1,1,0.4,1,0.63,0.57,0.67,0.64,1,1,0.34,1,0.79,0.4,0.89,0,0.19,0.98,0.84,0.89,0.83,0.98,0.25,0.22,0.21,0.61,1,0.5,1,0.59,1,0.98,0.92,1,1,1,0.95,0.33,0.35,0.6,0.92,1,0.51,0.17,1,1,0.67,0.56,0.94,0.98,1,0.99,0.58,0.62,1,0.91
F24,0,0.34,0.54,0.42,0.33,0.56,0.31,0.93,0.37,0.53,0.31,0.21,0.39,0.38,0.53,0.64,0.67,0.4,0.5,0.37,0.3,0.26,0.53,0.06,0,0.45,0.44,0.48,0.58,0.58,0.11,0.09,0.27,0.58,0.3,0.19,0.47,0.53,0.36,0.47,0.38,0.38,0.23,0.38,0.63,0.25,0.41,0.57,0.35,0.42,0.15,0.08,0.32,0.31,0.58,0.56,0.31,0.39,0.39,0.67,0.33,0.41,0.34,0.92
F25,0,0.23,0.21,0.16,0.09,0.47,0.2,0.41,0.12,0.3,0.2,0.25,0.31,0.3,0.22,0.3,0.33,0.18,0.26,0.2,0.32,0.31,0.23,0.22,0.31,0,0.39,0.15,0.34,0.32,0.24,0.28,0.31,0.24,0.17,0.45,0.36,0.36,0.17,0.28,0.25,0.24,0.2,0.35,0.38,0.44,0.38,0.62,0.38,0.16,0.33,0.28,0.21,0.13,0.18,0.25,0.26,0.28,0.19,0.25,0.25,0.2,0.17,0.38
F26,0,0.43,0.35,0.14,0.09,0.85,0.57,0.95,0.2,0.53,0.35,0.3,0.52,0.42,0.36,0.29,0.37,0.18,0.51,0.35,0.44,0.47,0.66,0.21,0.34,0.44,0,0.23,0.23,0.36,0.45,0.47,0.87,0.43,0.22,0.29,0.53,0.44,0.27,0.41,0.34,0.3,0.4,0.32,0.7,0.28,0.59,0.66,0.38,0.16,0.36,0.44,0.24,0.12,0.25,0.28,0.31,0.3,0.25,0.25,0.47,0.26,0.2,0.53
F27,0,0.35,0.35,0.18,0.13,0.33,0.37,0.48,0.15,0.42,0.32,0.29,0.27,0.37,0.32,0.39,0.27,0.15,0.26,0.17,0.55,0.47,0.61,0.4,0.66,0.31,0.42,0,0.43,0.38,0.61,0.68,0.64,0.21,0.2,0.42,0.62,0.47,0.2,0.36,0.33,0.14,0.29,0.53,0.63,0.88,0.54,0.83,0.7,0.21,0.52,0.69,0.24,0.16,0.24,0.41,0.24,0.33,0.42,0.31,0.49,0.35,0.23,0.67
F28,0,0.66,0.47,0.24,0.14,0.68,0.95,0.88,0.22,0.53,0.35,0.52,0.69,0.48,0.59,0.25,0.72,0.28,0.18,0.39,0.51,0.6,1,0.32,0.69,0.59,0.36,0.37,0,0.76,0.44,0.76,0.62,0.54,0.34,0.64,0.53,0.48,0.25,0.37,0.36,0.27,0.34,0.51,0.59,0.45,1,0.58,0.58,0.19,0.56,0.76,0.29,0.23,0.2,0.37,0.48,0.37,0.32,0.32,0.41,0.42,0.21,0.47
F29,0,0.41,0.38,0.14,0.1,0.55,0.44,0.73,0.25,0.48,0.33,0.24,0.32,0.43,0.35,0.29,0.45,0.18,0.42,0.22,0.36,0.51,0.39,0.24,0.43,0.35,0.35,0.2,0.48,0,0.24,0.43,0.31,0.39,0.2,0.4,0.47,0.5,0.15,0.29,0.32,0.2,0.28,0.29,0.48,0.21,0.42,0.72,0.39,0.31,0.37,0.5,0.16,0.13,0.25,0.29,0.26,0.35,0.29,0.34,0.34,0.28,0.19,0.64
F30,0,0.25,0.32,0.29,0.41,0.63,0.61,0.46,0.2,0.47,0.41,0.24,0.59,0.49,0.77,0.58,0.41,0.25,0.47,0.49,0.46,0.49,0.51,0.1,0.13,0.43,0.72,0.55,0.46,0.4,0,0.11,0.16,0.61,0.23,0.32,0.27,0.53,0.2,0.3,0.34,0.32,0.34,0.36,0.43,0.31,0.28,0.51,0.32,0.38,0.18,0.08,0.41,0.37,0.22,0.6,0.41,0.32,0.23,0.53,0.31,0.36,0.27,0.68
F31,0,0.24,0.61,0.3,0.29,0.56,0.53,0.69,0.24,0.44,0.28,0.29,0.45,0.4,0.59,0.45,0.49,0.29,0.37,0.48,0.3,0.41,0.42,0.06,0.08,0.37,0.54,0.44,0.57,0.51,0.08,0,0.21,0.43,0.3,0.31,0.37,0.49,0.3,0.43,0.29,0.38,0.35,0.62,0.68,0.35,0.42,0.69,0.43,0.37,0.39,0.11,0.36,0.25,0.37,0.51,0.36,0.43,0.32,0.69,0.31,0.48,0.28,0.83
F32,0,0.47,0.3,0.27,0.24,0.4,0.68,0.34,0.16,0.39,0.32,0.34,0.51,0.47,0.52,0.71,0.43,0.23,0.31,0.55,0.75,0.65,0.48,0.06,0.24,0.41,1,0.41,0.46,0.36,0.11,0.21,0,0.43,0.38,0.53,0.58,0.44,0.22,0.27,0.37,0.4,0.31,0.52,0.38,0.18,0.28,0.42,0.42,0.4,0.33,0.2,0.3,0.35,0.3,0.27,0.47,0.29,0.36,0.58,0.41,0.38,0.29,0.62
F33,0,0.48,0.34,0.13,0.07,0.47,0.42,0.54,0.19,0.3,0.48,0.23,0.33,0.27,0.3,0.25,0.25,0.18,0.33,0.29,0.43,0.33,0.48,0.18,0.53,0.32,0.51,0.14,0.42,0.47,0.45,0.44,0.45,0,0.21,0.52,0.45,0.4,0.17,0.31,0.21,0.21,0.33,0.48,0.64,0.44,0.71,0.89,0.48,0.18,0.51,0.45,0.21,0.15,0.22,0.27,0.19,0.34,0.33,0.29,0.35,0.3,0.24,0.41
